topic;content
É possível apagar meus dados?;"Sim, você pode excluir todos os seus dados pessoais e dados gerados pelas funcionalidades do relógio que foram sincronizados com o aplicativo quando quiser. Para isso, basta acessar a tela de perfil e tocar no botão de excluir conta.

Importante lembrar que após a exclusão da sua conta, seus dados não poderão ser recuperados."
O aplicativo está em conformidade a LGPD?;"Sim! O Mormaii Smartwatches se adequa a lei de proteção de dados (LGPD) e garante a proteção e segurança de seus dados. 

Para saber quais dados coletados pelo aplicativo e como tratamos e utilizamos esses dados, acesse as políticas de privacidade, termos de uso e termos de consentimento na central de ajuda do aplicativo."
Aplicativos suportados;As notificações aplicativos que são suportados pelo relógio são: Amazon, Facebook, Twitter (X), Instagram, Linkedin, Snapchat, TikTok, Youtube, Whatsapp, Whatsapp Business, SMS, Teams, Gmail, Outlook, Telegram, Uber, Calendário, Netflix, Prime vídeo, Google calendar e outros.  
Quais exercícios posso iniciar pelo aplicativo?;Pelo aplicativo você consegue iniciar os exercícios: Beach Tênis, bike, caminhada, corrida, crossfit, futevolêi, esteira, futebol, spinning, vôlei, academia, yoga e outros (customizável).
Como iniciar um exercício pelo relógio;"Para iniciar a atividade pelo relógio, primeiro você precisa escolher pelo aplicativo até 8 atividades para que fique salvas no relógio. Para isso, vá até ""Dispositivo” > selecione a opção “troca de exercício” > escolha até 8 atividades que deseja enviar para o relógio e toque em ""Salvar”. Você pode alterar as atividades sempre que desejar.

No relógio, clique no botão lateral para acender a tela, arraste o de do da direita para a esquerda e toque em “Exercícios” e escolha a atividade para iniciar.

As atividades disponíveis para serem iniciadas pelo relógio são: Beach Tênis, bike, caminhada, corrida, crossfit, futevolêi, esteira, futebol, spinning, vôlei, academia, outros, yoga, surf, natação e SUP."
O relógio tem GPS integrado?;Sim! com o GPS integrado, você consegue iniciar a atividade pelo relógio e dispensa o uso do celular durante a atividade. As atividades que possuem o selo “GPS” você consegue capturar o percurso e a distância com a precisão do GPS.
Como salvar um exercício no aplicativo?;"Sempre que quiser que um exercício seja enviada para o aplicativo, você precisa fazer a sincronização de dados.

Para isso é simples, o aplicativo faz sincronizações automáticas frequentes, além disso, vocês consegue fazer a sincronização manual arrastando a tela inicial de cima para baixo."
Posso excluir um exercício?;Não, assim que um exercício é salvo no aplicativo, o mesmo não poderá ser excluído.
Quais atividades possuem GPS?;O relógio possui 4 atividades com GPS, as atividades são: Bike, caminhada, corrida e outros. Todas essas atividades vão puxar informações de distância e percurso com a precisão do GPS integrado.
O que é o A-GPS?;GPS assistido (A-GPS) é uma versão aprimorada de GPS. A-GPS recebe dados de suporte através de uma conexão com a internet. Por isso, assim que você pareia o relógio pela primeira vez, o A-GPS é atualizado automaticamente e pega os dados atualizados de posição.
Como atualizar o A-GPS?;Caso o relógio solicite a atualização do A-GPS, você pode fazer a sincronização na tela inicial do aplicativo ou fazer a atualização manual tocando no botão “Atualizar AGPS” no menu dispositivo.
O que é o exercício customizado?;O exercício customizado serve para que você vá além com seu Mormaii Life GPS, você consegue iniciar o exercício “Outros” e depois de finalizado, você consegue trocar o nome do exercício para o nome que desejar. No aplicativo você terá algumas opções de exercícios disponível para selecionar ou personalizar com o nome que desejar.
Consigo compartilhar um exercício customizado?;Sim, assim como as outras atividades, basta você ir até o resumo da atividade no histórico ou na tela inicial do aplicativo. Na tela de resumo, toque no ícone de compartilhar localizado ao lado direito do nome da atividade e em seguida toque em compartilhar.
Como editar o nome do exercício customizado?;Para editar o nome da atividade, entre no histórico da atividade “Outros” > selecione a atividade que deseja editar o nome > toque no lápis localizado do lado esquerdo do nome > digite o nome da atividade ou escolha a atividade na lista > toque em salvar e pronto, sua atividade já estará com o nome customizado.
Meu relógio é à prova d’água?;O Mormaii Force possui resistência à água de 5 ATM. Isto lhe permite o uso diário, garantindo a resistência à submersão d’água de até 50m, tomar banho no chuveiro (água fria). Não recomendamos que aperte o botão lateral quando estiver com o relógio submerso.
Posso entrar no mar com meu relógio?;Você pode utilizar o seu Mormaii Force em água salgada. Recomendamos que após o uso na água salgada, lave o relógio em água doce corrente para retirar todo o sal que possa ter ficado no produto.
Posso nadar com meu relógio?;Com a resistência à água de 5ATM você pode praticar esportes em piscinas ou mar aberto. Não recomendamos que aperte o botão lateral com o relógio submerso. Lembre-se de lavar o relógio em água doce corrente após o uso em piscinas ou mares.
Posso tomar banho com meu relógio?;O Mormaii Force possui resistência de 5ATM (50 metros), com isso, você pode tomar banho com o seu relógio.
Posso lavar as mãos com meu relógio?;Você pode lavar as mãos enquanto usa seu Mormaii Force.
O que significa o selo MIL-STD 810H?;"O selo MIL-STD 810H refere-se a um padrão militar dos Estados Unidos, conhecido como ""MIL-STD-810H"" ou ""MIL-STD-810H Method 516.8"", que define critérios para testes de resistência ambiental e durabilidade de equipamentos militares. Ele estabelece condições e procedimentos de teste para garantir que dispositivos e equipamentos possam funcionar de maneira confiável em ambientes adversos, como temperaturas extremas, choques, vibrações e exposição a poeira e umidade. Essa norma é frequentemente usada como referência na indústria para demonstrar a robustez e a capacidade de resistência de produtos eletrônicos e outros dispositivos em condições desafiadoras."
Quais os testes militares foram realizados no Mormaii Force?;"O Mormaii Force foi submetido a 8 testes militares de resistência, sendo eles: 

1- Altitude - MIL-STD 810H:2019 - Método 500.6

2- Baixa temperatura - MIL-STD 810H:2019 - Método 502.7

3- Alta temperatura - MIL-STD 810H:2019 - Método 501.7

4- Radiação solar - MIL-STD 810H:2019 - Método 505.7

5- Humidade - MIL-STD 810H:2019 - Método 507.6

6- Vibração - MIL-STD 810H:2019 - Método 514.8

7- Impacto - MIL-STD 810H:2019 - Método 516.8

8- Maresia - MIL-STD 810H:2019 - Método 509.7"
O Mormaii force possui monitoramento de sono?;Sim, o Mormaii Force possui a função de monitoramento de sono e para monitorar basta você conectar o relógio com o aplicativo e dormir com o relógio. Após finalizado o sono, basta sincronizar com o aplicativo para puxar os dados.
Como faço para monitorar meu sono?;Para monitorar seu sono basta dormir com seu Mormaii force bem ajustado ao pulso. O relógio irá detectar automaticamente seu ciclo de sono e classificar em sono leve ou profundo. O relógio também registrará os momentos em que você acordou durante a noite mas esse tempo não será adicionado no tempo total de sono. Para enviar as informações para o aplicativo basta realizar a sincronização arrastando a tela de cima para baixo na tela inicial do aplicativo. O relógio precisa estar bem ajustado ao pulso para fazer a marcação corretamente.
Dormi com o relógio mas os dados de sono não foram registrados. O que devo fazer?;Você deve clicar no botão de sincronizar arrastando a tela de cima para baixo na tela inicial do aplicativo e aguardar a finalização. Depois você pode consultar no atalho de ‘Sono’ da Tela Inicial.
Como eu altero minha meta de sono?;Para alterar a sua meta de sono, basta acessar a tela de perfil (Tocando na sua foto da tela inicial do aplicativo) depois toque na opção de “Definir objetivos” e altere para o tempo desejado.
Meus passos do aplicativo não batem com o relógio, o que fazer?;O Mormaii Force envia os dados de passos para o aplicativo em um intervalo de tempo de 5 a 30 minutos, ou seja, caso você gere passos no seu relógio e já faça a sincronização com o aplicativo, provavelmente os dados mostrados na tela inicial não será o mesmo que o mostrado no aplicativo. Mas não se preocupe, todos os seus dados serão alvos no aplicativo em todas as sincronizações feitas durante os dias.
Como salvo meus passos no aplicativo?;"Para salvar os dados de passos no aplicativo basta abrir o aplicativo e arrastar a tela de cima para baixo na tela inicial.

Ao finalizar a sincronização, os dados de passos do dia ficarão salvos no aplicativo e serão sincronizados com o servidor no final do dia atual, ou seja, caso durante o dia você desinstalar o aplicativo, desconectar o relógio forçadamente ou fizer o logout, os dados do dia serão perdidos no relógio e também no aplicativo."
Passos registrados mesmo sem andar, por guê?;"O sensor do relógio que conta os passos é ativado assim que você movimenta o braço e o relógio entende que você está se movimentando. 

Isso pode acontecer também em transportes, caso o movimento se assemelhe ao movimento de uma caminhada ou corrida. 

O monitoramento de passos é uma estimativa de movimento diário e os dados podem variar de acordo com o ambiente e o movimento gerado pelo pulso."
Como inicio um monitoramento de batimentos?;"Seus batimentos podem ser capturados de duas formas, a primeira é manualmente no relógio. Você consegue navegar até a tela de batimentos no relógio e aguardar a medição. 

A segunda forma é utilizando o monitoramento automático, com essa função ativada, o seu relógio irá ler seus batimentos 24h por dia e com um intervalo de 5 minutos entre as medições. 

A função de batimento automática poderá ser acessada pela tela de dispositivo com a função de nome ""Batimento automático” ou pela tela de histórico de batimentos tocando no botão de engrenagem localizado no topo da tela ao lado do ícone de central de ajuda.

Mas atenção, com essa função automática ativada, o tempo de bateria do relógio poderá ser consumida mais rapidamente."
Por quanto tempo meu batimento é monitorado?;Após o monitoramento automático ser ativado, seus batimentos serão monitorados 24h por dia com um intervalo de 5 minutos entre as medições.
Como salvo meus batimentos no aplicativo?;"Para salvar os batimentos gerados automaticamente no aplicativo basta abrir o aplicativo e arrastar a tela de cima para baixo. Com isso, o aplicativo fará a sincronização e atualizará todos os dados na tela inicial e também no histórico.

Atenção: Os dados de batimentos ficam salvos no aplicativo e são enviados para o servidor a cada 1h, ou seja, caso você desconecte o relógio forçadamente, desinstale o aplicativo, resete o relógio ou faça logout no aplicativo, seus dados de batimentos da hora corrente poderão ser perdidos, mas não se preocupe pois os dados das horas anteriores já sincronizadas com o aplicativo continuarão salvos na sua conta e não serão perdidos."
Informações técnicas do relógio;"Tamanho da tela: 1.72”

Resolução da tela: 240px x 280px

Tecnologia do display: TFT-IPS

Material da pulseira: Silicone e Aço

Tamanho da bateria: 380mAh

Duração da bateria: Até 15 dias de uso

Tipo da bateria: Polímero de lítio

Tempo de carregamento: até 2h30

Processador: RealTek 8762DK

Material da caixa: Polímero com aro de aço

Geração do bluetooth: 5.0"
Como salvar os dados de Oxigenação no aplicativo.;Para salvar as oxigenações medidas no relógio manualmente no aplicativo, basta  arrastar a tela inicial do relógio de cima para baixo. Com isso, o aplicativo fará a sincronização e atualizará todos os dados na tela inicial e também no histórico.
Quantos dados de oxigenação são armazenados no relógio?;Você consegue salvar no relógio até 7 medições únicas de oxigenação, para que você não perca nenhum dado, sempre que fizer uma medição de oxigenação no relógio, recomendamos que entre no aplicativo e faça a sincronização para que tudo fique salvo corretamente na sua conta.
Consigo monitorar minha oxigenação automaticamente?;Não, o Mormaii Force não possui medições automáticas de oxigenação.
Como sincronizo o clima no relógio?;Assim que você conecta o relógio com o aplicativo, todas as informações de clima são automaticamente atualizadas no relógio.
O clima do relógio está diferente do celular, por quê?;"Utilizamos o serviço de clima da accuweather, ou seja, todas as informações relacionadas a clima, são puxadas desse serviço.

Caso o serviço que o aplicativo do seu celular utilize seja outro, possivelmente as informações serão distintas.

Lembre-se que para manter os dados de clima sempre atualizados, você precisa entrar no aplicativo durante o dia e aguardar a sincronização ser finalizada."
O clima sincroniza automaticamente no relógio todos os dias?;A informação de clima é atualizada automaticamente assim que você entra no aplicativo. Caso você não entre no aplicativo, essa informação ficará desatualizada.
Preciso de internet para sincronizar o clima?;Sim! Como utilizamos um serviço de clima para captar essas informações, você precisa que seu celular esteja conectado a internet para que as informações sejam enviadas para o relógio.
Como ativo o controle de música?;O controle de música do Mormaii Force já fica ativado por padrão, com isso, basta iniciar uma reprodução pelo seu aplicativo preferido e controlar através do relógio.
Posso controlar as músicas durante um exercício?;Não, a função de controle de música só poderá ser encontrada nos atalhos do relógio (Arrastando a tela da direita para a esquerda) ou através do menu do relógio (Arrastando a tela da esquerda para a direita ou clicando no botão lateral inferior)
Como funciona o alerta de sedentarismo?;Essa função te lembra de levantar e se mover no período e intervalo configurado na função. Além disso, o relógio só vai te notificar, caso você não atinja a meta de passos calculadas com base na sua meta diária dividida pelo período e intervalo configurado.
A meta de passos do alerta de sedentarismo tem a ver com a minha meta diária?;A sua meta diária de passos, que é configurada no seu perfil ou no momento da conexão com o relógio, serve como ponto de partida para calcular quantos passos você deve dar dentro do período e intervalo especificados, a fim de alcançar a sua meta diária de passos.
Posso enviar quantos mostradores para o relógio?;"Você consegue enviar 1 mostrador por vês para o relógio.

Sempre que você enviar um novo mostrador o anterior será substituído automaticamente."
Quero excluir um mostrador fixo, eu posso?;Não, o Mormaii Force possui 8 mostradores físicos e 1 espaço livre para usar com as mais de 70 opções de mostradores da Galeria Mormaii.
Por que demora muito para sincronizar um mostrador?;"O Mostrador é baixado do nosso servidor para o seu celular e logo em seguida é enviado para o relógio. 

Essa ação de baixar o mostrador para o celular pode ser influenciada pela qualidade da internet que está utilizando. Já o envio pode demorar mais de acordo com a tecnologia bluetooth, tamanho de arquivo e possíveis interferências de sinal."
Os mostradores demoram carregar no aplicativo, por quê?;Sempre que você abre o aplicativo, os mostradores são buscados no nosso servidor e mostrado no aplicativo. A demora, pode ser causada pela qualidade da internet que esteja utilizando.
Sempre que envio um mostrador novo, o anterior sai do relógio, por quê?;O Relógio possui apenas 1 espaço para o mostrador da galeria, por isso, sempre que enviar um mostrador, o antigo será alterado para o novo.
O que são os mostradores favoritos e como configurar?;"Os mostradores favoritos são todos os mostradores que você selecionou para que você consiga visualizar e trocar do relógio de forma mais fácil e rápida. Esses mostradores ficarão disponível na tela inicial e na tela de dispositivo, além de ser possível acessar também pela própria galeria.

Esses mostradores ficam amenas no aplicativo, e não estão todos disponíveis no relógio, com isso, sempre que quiser enviar para o relógio basta tocar no mostrador selecionado e em seguida tocar no botão de envio para o relógio.

Você consegue selecionar até 10 opções de mostradores como favorito, basta tocar no mostrador escolhido e tocar no botão de ""Favoritar” que será mostrado abaixo da foto do relógio."
Me solicitaram baixar outro aplicativo, o que fazer?;"O seu smartwatch funciona apenas com aplicativos Mormaii Smartwatches que pode ser baixado através da loja de aplicativos oficial do sistema operacional do seu celular (PlayStore ou AppStore). Caso alguém se passando por funcionários do Grupo Technos ou Mormaii entre em contato solicitando a instalação de outro aplicativo no seu celular por meio das lojas oficiais ou de link externo, desconfie e entre em contato conosco através do ""Fale com a gente” no aplicativo."
O que é o histórico de calorias?;"O Histórico de Calorias apresenta a soma das calorias totais consumidas ao longo do seu dia, refletindo o valor total de energia despendido. Para estimar esse número, o relógio inteligente utiliza as informações fornecidas no seu perfil, como gênero biológico, peso, altura e idade. Com base nesses dados, o dispositivo calcula uma média do gasto energético diário e por hora.

Além do gasto energético basal, o histórico também registra o dispêndio de calorias ativas, que representam a energia utilizada acima do nível basal. Essas calorias ativas podem ser resultado de atividades como uma caminhada leve, tarefas domésticas ou mesmo exercícios físicos realizados enquanto utiliza o relógio.

As calorias gastas em atividades ativas são então somadas ao gasto calórico basal, formando assim o total de calorias consumidas no período. Essa abordagem oferece uma visão abrangente do gasto energético, proporcionando insights valiosos para o acompanhamento e a gestão da sua saúde e condicionamento físico."
Qual a diferença entre calorias ativas e calorias totais?;"Calorias ativas e calorias totais referem-se a diferentes componentes do gasto energético diário. Aqui está a diferença entre eles:

1. **Calorias Ativas:**
    - Representam a quantidade de calorias gastas durante atividades físicas específicas ou exercícios.
    - Incluem a energia utilizada para realizar atividades como caminhadas, corridas, exercícios de academia, esportes, ou qualquer outra forma de movimento físico planejado.
    - Essas calorias são consideradas ""ativas"" porque são resultantes de ações voluntárias e intencionais que demandam esforço físico.
2. **Calorias Totais:**
    - Refletem o total de calorias gastas pelo corpo ao longo do dia, abrangendo tanto o gasto energético basal quanto as calorias ativas.
    - O gasto energético basal (GEB) é a quantidade mínima de calorias necessárias para manter funções vitais do corpo em repouso absoluto, como respiração, circulação sanguínea e manutenção da temperatura corporal.
    - As calorias totais, portanto, representam a soma do GEB com as calorias ativas, oferecendo uma visão abrangente do consumo energético diário.

Em resumo, as calorias ativas referem-se à energia gasta durante atividades físicas específicas, enquanto as calorias totais representam o montante global de calorias consumidas, incluindo o gasto basal e as calorias ativas. Ambos os conceitos são importantes para entender o equilíbrio energético e são frequentemente considerados em contextos de saúde, fitness e gestão de peso."
O que é gasto energético basal?;"O gasto energético basal (GEB), também conhecido como taxa metabólica basal (TMB), refere-se à quantidade mínima de energia que o organismo precisa para manter funções vitais em repouso absoluto, em um ambiente termoneutro. Isso inclui funções como respiração, circulação sanguínea, manutenção da temperatura corporal, atividade celular e outras funções metabólicas essenciais.

O GEB é expresso em calorias por unidade de tempo (geralmente por dia) e representa a maior parte do gasto energético diário de uma pessoa. Cerca de 60 a 70% das calorias totais queimadas diariamente por um indivíduo geralmente são atribuídas ao gasto energético basal.

Vários fatores influenciam o GEB, incluindo a idade, sexo, massa magra, massa gorda e a genética de uma pessoa. Pode haver variações significativas entre indivíduos, mesmo quando fatores como peso e altura são semelhantes.

Entender o GEB é importante em contextos como a avaliação do gasto energético total de uma pessoa, auxiliando profissionais de saúde, nutricionistas e educadores físicos a desenvolverem estratégias adequadas para o controle de peso, a prescrição de dietas e a elaboração de programas de exercícios."
O que é o histórico de atividades?;"O histórico de atividades é um compilado de 3 informações sobre as atividades do seu dia, as calorias ativas, Tempo de exercício e tempo em movimento. 

Essas informações são importantes para você acompanhar sua evolução diária e semanal sobre suas atividades."
O histórico de atividades é composto por quais informações?;Esse histórico é composto pelas calorias ativas, tempo de exercício e tempo em movimento
O que significa cada informação do histórico de atividades?;"Calorias ativas: Representam a quantidade de calorias gastas durante atividades físicas específicas ou exercícios. Incluem a energia utilizada para realizar atividades como caminhadas, corridas, exercícios de academia, esportes, ou qualquer outra forma de movimento físico planejado. Essas calorias são consideradas ""ativas"" porque são resultantes de ações voluntárias e intencionais que demandam esforço físico.

Tempo de exercício: O tempo em exercício é o período em que você se dedica praticando exercícios com o seu relógio ou pelo aplicativo ou praticando alguma atividade ou caminhada sem necessariamente iniciar um exercício pelo relógio ou aplicativo.

Tempo em movimento: O tempo em movimento mostra quantas horas no dia você se movimentou e atingiu seu objetivo de passos. Você consegue verificar no gráfico duas cores diferentes para as horas que você atingiu seu objetivo e as horas que você caminhou porém não conseguiu atingir seu objetivo."
O Tempo de exercício tem a ver com os exercícios feitos no aplicativo ou relógio?;Sim! Nesse tempo, serão somados o tempo que você ficou em atividade durante o seu dia ou até mesmo o tempo que fez algum esforço durando o seu dia sem iniciar um exercício pelo app ou relógio.
Como editar os objetivos do histórico de atividades?;"Para editar os seus objetivos você pode acessar dois caminhos:

1- Na tela de histórico de atividades, toque no botão de engrenagem ao lado do ícone de central de ajuda no canto superior direito da tela.

2- Acesse a opção “Editar objetivos” na tela de perfil. Basta tocar na sua foto na tela inicial do aplicativo."
Esse histórico tem relação com o alerta de sedentarismo?;"Certamente, a informação crucial aqui é o ""Tempo em Movimento"". Esta métrica está diretamente relacionada à quantidade total de passos que você deseja alcançar diariamente. Em termos práticos, o aplicativo realiza o cálculo ao dividir o número total de passos pelo tempo total em movimento estipulado para atingir sua meta. Dessa maneira, o aplicativo determina a média de passos por hora necessária para alcançar seu objetivo diário.

Caso a função de alerta de sedentarismo esteja habilitada, o relógio desempenha um papel proativo, notificando você 10 minutos antes do término de cada hora. Essa notificação serve como um lembrete oportuno para incentivar movimentos e assegurar que você permaneça no caminho certo para alcançar sua meta diária de passos. Essa abordagem estratégica ajuda a manter um estilo de vida mais ativo e saudável, integrando a conscientização sobre a importância de se movimentar ao longo do dia."
Quais modalidades o meu relógio consegue monitorar?;"Você pode monitorar diretamente pelo seu relógio 24 exercícios (descritas abaixo).

1. Bike
2. Caminhada
3. Corrida
4. Simulador de escada
5. Beach tênis
6. Basquete
7. Futebol
8. Natação
9. Tênis
10. Spinning
11. Surf
12. Yoga
13. Academia
14. Dança
15. Pilates
16. Elíptico
17. Vôlei
18. Esteira
19. SUP
20. Futevôlei
21. Remada
22. Cross Training
23. Trilha
24. Outros"
Como realizo o monitoramento de um exercício?;"Para realizar o monitoramento de um exercício, com seu relógio conectado corretamente ao aplicativo, acesse a aba ‘Exercícios’ do aplicativo e selecione a modalidade desejada. Em seguida defina uma meta ou toque no botão de “Iniciar sem definir meta”.
Ao encerrar o exercício, você deve sincronizar os dados do relógio com o aplicativo. 

Você também pode iniciar a atividade diretamente pelo seu relógio e fazer o exercício sem estar pareado ou com o celular durante o exercício. Ao finalizar o exercício pelo relógio, abra o aplicativo e faça a sincronização para ver todos os dados do exercício no histórico.
ATENÇÃO: Para o funcionamento correto do exercício iniciado pelo aplicativo, é necessário manter o aplicativo aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante todo o exercício. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
Como defino as metas para meus exercícios?;"Ao iniciar um monitoramento de exercício pelo aplicativo, é possível definir uma meta.
As metas podem ser de distância (ex: correr 5km), de tempo (ex: correr por 30min) ou de caloria (ex: correr até queimar 500kcal). Só é possível escolher uma meta por exercício. Para exercícios que não possuem distância, você só poderá escolher entre a meta de caloria ou de tempo.
Quando a meta for alcançada, você receberá uma notificação em seu celular lhe avisando. Não há nenhuma notificação no seu smartwatch e o exercício não será encerrada quando atingir a meta.
ATENÇÃO: Para o funcionamento correto do exercício iniciado pelo aplicativo, é necessário manter o aplicativo aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante todo o exercício. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
O que fazer para que o mapa seja registrado durante a realização de um exercício?;"Para que o mapa possa ser registrado é preciso iniciar o monitoramento do exercício pelo aplicativo. Certifique-se também de que seu relógio está conectado corretamente ao aplicativo, a Localização (GPS) de seu celular está ativada e a permissão de localização esteja configurada como “Permitir sempre”.
O GPS do celular é usado para o desenho do mapa e para medir a distância percorrida durante o exercício.
ATENÇÃO: Para o funcionamento correto do exercício iniciado pelo aplicativo, é necessário manter o aplicativo aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante todo o exercício. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
Posso fazer um exercício sem levar o celular comigo?;"Sim, você pode iniciar qualquer exercício diretamente pelo seu relógio sem a necessidade de estar conectado no momento ou levar o celular com você durante o exercício. Quando o exercício for finalizado, basta abrir o aplicativo e fazer a sincronização para que o exercício seja salvo no seu histórico.
Exercícios que possuem mapa ou distância, esses dados só serão calculados e mostrados corretamente caso o exercício seja iniciado pelo aplicativo e o celular seja carregado durante todo o exercício."
Meu relógio tem GPS integrado?;Não, o modelo Mormaii Force não possui GPS integrado. O aplicativo acessa seus dados de geolocalização para traçar o mapa e calcular a distância com precisão dos seus exercícios.
O relógio usa qual satélite de GPS?;O relógio possui o chip GPS integrado e se comunica com os satélites de GPS e Glonass, para aumentar ainda mais a precisão da distância e o percurso.
Quais testes foram feitos no GPS?;Para garantir a precisão do GPS do relógio, fizemos diversas rodadas de testes junto ao IPT (Instituto de Pesquisas Tecnológicas). Nesses testes foi identificado que o GPS do relógio possui uma excelente precisão e que possui uma variação de até 2,5 metros.
Aplicativos suportados;As notificações aplicativos que são suportados pelo relógio são: Amazon, Magalu, Americanas, Enjoei, Aliexpress, Shopee, Facebook, Twitter(X), Instagram, Linkedin, Snapchat, TikTok, Youtube, Pinterest, whatsapp, Teams, Gmail, Outlook, Telegram, 99 taxi, Uber, Facebook Messenger, Ifood, Mercado Livre, Calendário, Whatsapp Business, Nubank, Bradesco, Itaú, Banco do brasil, Correios, Banco inter, Caixa econômica, Neon, Santander, Next, Netflix, Prime vídeo, Google calendar, Shein, Google task, Microsoft todo, TickTick, Todoist  e outros.
Quais modalidades o meu relógio consegue monitorar?;"Você pode monitorar diretamente pelo seu relógio 100 exercícios podendo escolher até 20 para estar no relógio como acesso rápido, os exercícios disponíveis são:

1. Corrida 
2. Corrida esteira
3. Caminhada
4. Caminhada esteira
5. Bike
6. Spinning
7. Natação na piscina
8. Natação no mar
9. Trilha
10. Yoga
11. Dança
12. Remo
13. Elíptico
14. Tecido acrobático
15. Cross Training
16. HIIT
17. SUP
18. Core
19. Pilates
20. Alongamento
21. Academia
22. Aeróbico
23. Slackline
24. Abdominal
25. Capoeira
26. Jazz
27. Barra
28. Krav Magá
29. Agachamentos
30. Luta livre
31. Treino funcional
32. Zumba
33. Boxe
34. Artes marciais
35. Tai Chi
36. Taekwondo
37. Karatê
38. Judô
39. Esgrima
40. Arco e flecha
41. Ginástica
42. Levantamento de peso
43. Barras paralelas
44. Vôlei
45. Arremesso de peso
46. Boliche
47. Tênis
48. Tênis de mesa
49. Golfe
50. Futebol
51. Basquete
52. Beach tênis
53. Frescobol
54. Hóquei
55. Futebol americano
56. Squash
57. Softball
58. Handball
59. Altinha
60. Beisebol
61. Futsal
62. Nado sincronizado
63. Muai Thay
64. Sapateado
65. Break dance
66. Balé
67. Atletismo
68. Escalada
69. Pular corda
70. Peteca
71. Dardos
72. Hipismo
73. Simulador de escada
74. Bocha
75. Pesca
76. Foil Surfing
77. Jiu Jitsu
78. Patinação
79. Snowboard
80. Esqui
81. Marcha atlética
82. Funcional na praia
83. Corrida com obstáculos
84. Corrida de revezamento
85. Pole dance
86. Surfe
87. Vela
88. Windsurf
89. Caiaque
90. Wakeboard
91. Volei de praia
92. Motocross
93. Kickboxe
94. Kung Fu
95. Montanhism
96. Skate
97. Rapel
98. Futvôlei
99. Parkour
100. Montain bike"
Como realizo o monitoramento de um exercício?;"Para realizar o monitoramento de um exercício, com seu relógio conectado corretamente ao aplicativo, acesse a aba “Exercícios” do aplicativo e selecione a modalidade desejada. Em seguida defina uma meta ou toque no botão de “Iniciar sem definir meta”.
Ao encerrar o exercício, você deve sincronizar os dados do relógio com o aplicativo. 

Você também pode iniciar o exercício diretamente pelo seu relógio e faze-lo sem estar conectado com o celular durante o exercício. Ao finalizar o exercício pelo relógio, abra o aplicativo e faça a sincronização para ver todos os dados dele no histórico.
ATENÇÃO: Para o funcionamento correto do exercício iniciado pelo aplicativo, é necessário manter o aplicativo aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante todo o exercício. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
Como defino as metas para meus exercícios?;"Ao iniciar um monitoramento de exercício pelo aplicativo ou pelo relógio, é possível definir uma meta.
As metas podem ser de distância (ex: correr 5km), de tempo (ex: correr por 30min) ou de caloria (ex: correr até queimar 500kcal). Só é possível escolher uma meta por exercício. Para exercícios que não possuem distância, você só poderá escolher entre a meta de calorias ou de tempo.
Quando a meta for alcançada, você receberá uma notificação em seu celular ou no relógio lhe avisando.
ATENÇÃO: Para o funcionamento correto do exercício iniciado pelo aplicativo, é necessário manter o aplicativo aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante todo o exercício. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
O que fazer para que o mapa seja registrado durante a realização de um exercício?;"Para que o mapa possa ser registrado é preciso iniciar o monitoramento do exercício pelo aplicativo. Certifique-se também de que seu relógio está conectado corretamente ao aplicativo, a Localização (GPS) de seu celular está ativada e a permissão de localização esteja configurada como “Permitir sempre”.
O GPS do celular é usado para o desenho do mapa e para medir a distância percorrida durante o exercício em KM.
ATENÇÃO: Para o funcionamento correto do exercício iniciado pelo aplicativo, é necessário manter o aplicativo aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante todo o exercício. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
Posso fazer um exercício sem levar o celular comigo?;"Sim, você pode iniciar qualquer exercício diretamente pelo seu relógio sem a necessidade de estar conectado no momento ou levar o celular com você durante o exercício. Quando o exercício for finalizado, basta abrir o aplicativo e fazer a sincronização para que o exercício seja salvo no seu histórico.
Exercícios que possuem mapa ou distância, esses dados só serão calculados e mostrados corretamente caso o exercício seja iniciado pelo aplicativo e o celular esteja com você durante todo o exercício."
Meu relógio tem GPS integrado?;Não, o modelo Mormaii Life Ultra não possui GPS integrado. O aplicativo acessa seus dados de geolocalização para traçar o mapa e calcular a distância com precisão dos seus exercícios.
